10-03-01-51-44-13,2/19/2016,50000000.00,0
39-33-19-21-09-55,2/21/2016,50000000.00,0
44-58-09-41-23-35,2/26/2016,50000000.00,0
10-13-23-11-07-09,2/28/2016,50000000.00,0
36-41-03-06-15-26,3/4/2016,50000000.00,0
48-37-33-34-41-50,3/6/2016,50000000.00,0
25-07-36-39-31-30,3/11/2016,50000000.00,0
27-12-01-11-29-52,3/13/2016,50604224.00,0
33-04-48-44-19-38,3/18/2016,53409188.00,0
29-08-33-46-35-21,3/20/2016,55709300.00,0
47-25-20-44-06-55,4/1/2016,58719148.00,0
36-39-33-01-11-50,4/3/2016,60885856.00,0
40-41-01-25-28-44,4/8/2016,63714204.00,0
53-48-44-04-46-11,4/10/2016,65823720.00,0
07-53-13-50-22-01,4/15/2016,68529988.00,0
34-19-33-39-06-49,4/17/2016,71285768.00,0
02-51-40-33-20-13,4/22/2016,74383672.00,0
36-35-51-38-46-30,4/24/2016,77209604.00,0
35-56-30-46-57-08,4/29/2016,80234380.00,0
27-41-15-52-39-04,5/1/2016,83250596.00,0
38-23-55-17-51-08,5/6/2016,86865264.00,0
49-52-22-01-46-41,5/8/2016,89902124.00,0
08-12-09-50-13-46,5/13/2016,93706916.00,0
41-21-13-52-36-06,5/15/2016,97025016.00,0
05-42-34-49-33-52,5/20/2016,101301028.00,0
31-40-42-51-06-18,5/22/2016,104963184.00,0
11-50-56-53-12-09,5/27/2016,109460484.00,0
06-44-36-54-32-29,5/29/2016,113172840.00,0
13-02-25-06-03-49,6/3/2016,117896552.00,0
22-05-07-25-53-32,6/5/2016,121868792.00,0
39-19-54-06-22-12,6/10/2016,126590668.00,0
50-03-49-13-58-34,6/12/2016,130544376.00,0
16-58-33-35-02-50,6/17/2016,135285580.00,0
45-46-07-03-49-58,6/19/2016,139216872.00,0
51-49-25-40-31-45,6/24/2016,143947844.00,0
11-53-02-29-01-09,6/26/2016,148235564.00,0
36-47-04-03-20-28,7/1/2016,153031572.00,0
54-23-32-04-14-38,7/3/2016,157515824.00,0
11-27-51-02-16-41,7/8/2016,162847140.00,0
44-39-43-10-07-23,7/10/2016,167511164.00,0
06-21-57-31-53-02,7/15/2016,173368172.00,0
39-05-11-26-16-28,7/17/2016,178240316.00,0
09-47-04-20-52-05,7/22/2016,184031148.00,0
10-30-22-34-50-28,7/24/2016,188714904.00,0
20-55-14-22-18-30,7/29/2016,194605848.00,1
21-27-55-47-46-19,7/31/2016,50000000.00,0
02-09-06-30-52-08,8/5/2016,50000000.00,0
55-36-33-30-53-32,8/7/2016,50000000.00,0
50-19-25-15-51-14,8/12/2016,50000000.00,0
05-54-48-17-01-39,8/14/2016,50000000.00,0
07-38-40-31-53-30,8/19/2016,50000000.00,0
24-10-42-30-25-13,8/21/2016,50000000.00,0
38-37-57-22-30-53,8/26/2016,50000000.00,0
20-12-02-03-15-22,8/28/2016,50000000.00,1
48-34-36-16-27-35,9/2/2016,50000000.00,0
13-47-26-28-01-48,9/4/2016,50000000.00,0
29-27-34-47-04-12,9/9/2016,50000000.00,0
11-15-20-08-49-37,9/11/2016,50000000.00,0
23-41-13-46-43-58,9/16/2016,50000000.00,0
13-51-12-02-06-36,9/18/2016,50000000.00,0
32-56-27-57-15-09,9/23/2016,50000000.00,0
56-50-52-14-21-25,9/25/2016,50000000.00,0
51-49-47-25-39-05,9/30/2016,50000000.00,0
29-01-44-38-28-32,10/2/2016,50000000.00,0
56-45-33-54-52-18,10/7/2016,50000000.00,0
37-16-13-44-54-25,10/9/2016,50000000.00,0
49-31-25-52-53-33,10/14/2016,50000000.00,0
04-03-35-56-39-05,10/16/2016,50000000.00,0
51-46-43-47-12-32,10/21/2016,50000000.00,0
26-44-04-57-21-54,10/23/2016,50000000.00,0
46-32-02-57-15-03,10/28/2016,50000000.00,0
01-34-41-02-10-21,10/30/2016,50000000.00,0
58-06-25-47-38-41,11/4/2016,50585288.00,0
54-48-58-42-21-15,11/6/2016,53142076.00,0
08-51-07-32-37-17,11/11/2016,56277080.00,0
15-02-31-58-56-22,11/13/2016,59160064.00,0
43-42-29-10-41-04,11/18/2016,62442460.00,0
58-53-26-42-54-28,11/20/2016,65464104.00,0
46-32-10-56-27-48,11/25/2016,68605832.00,0
04-31-13-36-24-53,11/27/2016,71690560.00,0
17-40-58-27-47-05,12/2/2016,75242616.00,0
30-02-17-42-01-03,12/4/2016,78599956.00,0
55-23-29-22-53-41,12/9/2016,82286924.00,0
44-33-05-52-50-58,12/11/2016,85663640.00,0
19-34-58-28-08-36,12/16/2016,89365904.00,0
08-56-07-43-13-17,12/18/2016,92744368.00,0
40-14-34-45-20-36,12/23/2016,97297272.00,0
38-58-23-42-34-08,12/30/2016,102271052.00,0
21-17-54-47-08-02,1/6/2017,107512772.00,0
40-50-46-44-08-12,1/8/2017,112024060.00,0
45-19-06-07-08-22,1/13/2017,117257944.00,0
22-52-43-54-04-18,1/15/2017,121745164.00,0
40-43-39-21-52-46,1/20/2017,127031376.00,0
39-09-30-20-34-01,1/22/2017,131647064.00,0
05-41-53-12-16-46,1/27/2017,136957364.00,0
23-47-34-14-52-57,1/29/2017,141918708.00,0
17-30-06-13-43-31,2/3/2017,147394816.00,0
47-06-36-48-10-25,2/5/2017,152661032.00,0
